Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
Buenos Aires,25 De Mayo,25 De Mayo,6854100,873,4.704,0,2,0,975,0,664,7.218
Buenos Aires,25 De Mayo,Del Valle,6854020,181,0,0,0,10,1,0,0,192
Buenos Aires,25 De Mayo,Gobernador Ugarte,6854040,0,0,0,0,0,0,0,181,181
Buenos Aires,25 De Mayo,Norberto De La Riestra,6854060,0,782,0,6,167,0,0,327,1.282
Buenos Aires,25 De Mayo,Lucas Monteverde,6854050,0,0,0,0,0,0,0,6,6
Buenos Aires,25 De Mayo,Ernestina,6854030,66,0,0,0,0,0,0,0,66
Buenos Aires,25 De Mayo,Pedernales,6854070,568,0,0,0,0,0,0,7,575
Buenos Aires,9 De Julio,12 De Octubre,6588030,0,0,0,0,0,0,0,19,19
Buenos Aires,9 De Julio,9 De Julio,6588100,4.360,3.362,82,5.886,83,1,0,831,14.605
Buenos Aires,9 De Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,450,0,0,0,60,0,0,0,510
Buenos Aires,9 De Julio,Dudignac,6588040,0,0,1,0,0,0,0,463,464
Buenos Aires,9 De Julio,Manuel B. Gonnet  (Est. French),6588060,199,0,0,2,2,0,0,0,203
Buenos Aires,9 De Julio,Villa General Fournier  (Est. 9 De Julio Sud),6588120,0,0,0,88,0,0,0,42,130
Buenos Aires,9 De Julio,Patricios,6588110,76,0,0,0,0,0,0,0,76
Buenos Aires,Adolfo Alsina,Carhué,6007010,780,0,1,1.418,1,0,0,283,2.483
Buenos Aires,Adolfo Alsina,Maza,6007070,0,0,0,390,0,2,0,14,406
Buenos Aires,Adolfo Alsina,Rivera,6007080,0,0,0,1.202,0,0,0,0,1.202
Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,0,0,0,198,0,0,0,0,198
Buenos Aires,Adolfo Alsina,Esteban Agustín Gascón,6007050,0,0,0,58,0,0,0,0,58
Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,549,0,2,943,0,0,0,313,1.807
Buenos Aires,Adolfo Gonzales Chaves,De La Garma,6014020,0,0,0,630,0,0,0,59,689
Buenos Aires,Adolfo Gonzales Chaves,Juan E. Barra,6014030,0,0,0,0,0,0,0,45,45
Buenos Aires,Adolfo Gonzales Chaves,Vásquez,6014040,0,0,0,0,0,0,0,14,14
Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,457,0,6,1,0,0,0,8,472
Buenos Aires,Alberti,Mechita,6021030,285,0,0,0,0,0,0,0,285
Buenos Aires,Almirante Brown,Adrogué,6028010,214,9.259,59,11.442,2,1,0,26,21.003
Buenos Aires,Almirante Brown,Burzaco,6028010,142,16.127,35,11.335,40,2,0,292,27.973
Buenos Aires,Almirante Brown,Claypole,6028010,5,7.568,3,4.149,13,0,0,2,11.740
Buenos Aires,Almirante Brown,Don Orione,6028010,0,5.184,0,0,0,0,0,1,5.185
Buenos Aires,Almirante Brown,Glew,6028010,55,7.978,10,11.652,12,0,0,54,19.761
Buenos Aires,Almirante Brown,Jose Mármol,6028010,0,7.374,1,1.410,2,0,0,1,8.788
Buenos Aires,Almirante Brown,Longchamps,6028010,30,9.559,20,14.739,24,0,0,1,24.373
Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,2,5.311,3,54,2,0,0,1,5.373
Buenos Aires,Almirante Brown,Ministro Rivadavia,6028010,3,3.418,4,4.066,4,0,0,1,7.496
Buenos Aires,Almirante Brown,Rafael Calzada,6028010,37,10.375,15,9.925,193,0,0,340,20.885
Buenos Aires,Almirante Brown,San Francisco Solano,6028010,26,4.232,4,3.261,131,0,0,2,7.656
Buenos Aires,Almirante Brown,San Jose,6028010,3,9.174,2,195,0,3,0,1,9.378
Buenos Aires,Arrecifes,Arrecifes,6077010,906,1.127,12,4.393,60,1,0,1.882,8.381
Buenos Aires,Arrecifes,Todd,6077020,0,0,0,304,0,0,0,0,304
Buenos Aires,Arrecifes,Viña,6077030,50,60,0,0,0,0,0,0,110
Buenos Aires,Avellaneda,Avellaneda,6035010,1.486,8.698,48,5.769,68,5,0,87,16.161
