Año,Trimestre,Provincia,-30 Mbps,+ 30 Mbps,OTROS,Total,Fecha
2022,3,Buenos Aires,1037158,3618689,65821,4721668,2022-07-01
2022,3,Capital Federal,189097,1253105,105477,1547679,2022-07-01
2022,3,Catamarca,17787,50298,2208,70293,2022-07-01
2022,3,Chaco,61045,79390,3711,144146,2022-07-01
2022,3,Chubut,128191,17563,20024,165778,2022-07-01
2022,3,Córdoba,374451,650344,13873,1038668,2022-07-01
2022,3,Corrientes,80789,56950,7107,144846,2022-07-01
2022,3,Entre Ríos,150005,102195,16759,268959,2022-07-01
2022,3,Formosa,50245,17704,589,68538,2022-07-01
2022,3,Jujuy,72928,45895,0,118823,2022-07-01
2022,3,La Pampa,90349,22731,3012,116092,2022-07-01
2022,3,La Rioja,36474,50390,0,86864,2022-07-01
2022,3,Mendoza,134709,150043,4771,289523,2022-07-01
2022,3,Misiones,93477,80330,8350,182157,2022-07-01
2022,3,Neuquén,69590,78713,14858,163161,2022-07-01
2022,3,Río Negro,93691,42596,24271,160558,2022-07-01
2022,3,Salta,112389,85661,6491,204541,2022-07-01
2022,3,San Juan,72559,19221,11619,103399,2022-07-01
2022,3,San Luis,107242,13,14815,122070,2022-07-01
2022,3,Santa Cruz,44259,4604,647,49510,2022-07-01
2022,3,Santa Fe,471249,396352,20209,887810,2022-07-01
2022,3,Santiago Del Estero,105898,12342,792,119032,2022-07-01
2022,3,Tierra Del Fuego,49524,1021,3351,53896,2022-07-01
2022,3,Tucumán,103237,159600,280,263117,2022-07-01
2022,2,Buenos Aires,1065577,3535757,65849,4667183,2022-04-01
2022,2,Capital Federal,201910,1229254,105607,1536771,2022-04-01
2022,2,Catamarca,20875,43926,2207,67008,2022-04-01
2022,2,Chaco,63585,76271,3708,143564,2022-04-01
2022,2,Chubut,127390,15394,20021,162805,2022-04-01
2022,2,Córdoba,393609,619400,13426,1026435,2022-04-01
2022,2,Corrientes,82819,55071,7107,144997,2022-04-01
2022,2,Entre Ríos,153824,98769,16759,269352,2022-04-01
2022,2,Formosa,50965,16326,590,67881,2022-04-01
2022,2,Jujuy,75470,37391,2453,115314,2022-04-01
2022,2,La Pampa,91390,17125,3012,111527,2022-04-01
2022,2,La Rioja,37110,48920,0,86030,2022-04-01
2022,2,Mendoza,154256,121366,3940,279562,2022-04-01
2022,2,Misiones,95356,75107,8350,178813,2022-04-01
2022,2,Neuquén,66269,76982,18717,161968,2022-04-01
2022,2,Río Negro,93522,41972,24270,159764,2022-04-01
2022,2,Salta,115205,81478,6494,203177,2022-04-01
2022,2,San Juan,72089,16701,11617,100407,2022-04-01
2022,2,San Luis,106913,13,14815,121741,2022-04-01
2022,2,Santa Cruz,44949,3592,644,49185,2022-04-01
2022,2,Santa Fe,487387,373888,17584,878859,2022-04-01
2022,2,Santiago Del Estero,106580,10672,792,118044,2022-04-01
2022,2,Tierra Del Fuego,49413,1006,3351,53770,2022-04-01
2022,2,Tucumán,108705,145541,281,254527,2022-04-01
2022,1,Buenos Aires,1148095,3381049,26280,4555424,2022-01-01
2022,1,Capital Federal,227752,1188072,1717,1417541,2022-01-01
2022,1,Catamarca,24456,35715,2207,62378,2022-01-01
2022,1,Chaco,73593,62946,7580,144119,2022-01-01
2022,1,Chubut,141966,14055,15607,171628,2022-01-01
2022,1,Córdoba,413672,577027,13104,1003803,2022-01-01
2022,1,Corrientes,91853,43631,7094,142578,2022-01-01
2022,1,Entre Ríos,169419,81757,16750,267926,2022-01-01
2022,1,Formosa,38932,15028,588,54548,2022-01-01
2022,1,Jujuy,78780,35287,2442,116509,2022-01-01
2022,1,La Pampa,92499,14400,2833,109732,2022-01-01
2022,1,La Rioja,38333,45970,0,84303,2022-01-01
2022,1,Mendoza,176850,95048,3287,275185,2022-01-01
2022,1,Misiones,104549,58610,8349,171508,2022-01-01
2022,1,Neuquén,70556,71238,7885,149679,2022-01-01
2022,1,Río Negro,96993,37729,22652,157374,2022-01-01
2022,1,Salta,114188,76838,6489,197515,2022-01-01
2022,1,San Juan,73797,11916,2465,88178,2022-01-01
2022,1,San Luis,91242,13,28589,119844,2022-01-01
2022,1,Santa Cruz,46066,2551,485,49102,2022-01-01
2022,1,Santa Fe,507865,344170,18444,870479,2022-01-01
2022,1,Santiago Del Estero,107360,8309,792,116461,2022-01-01
2022,1,Tierra Del Fuego,49208,982,2421,52611,2022-01-01
2022,1,Tucumán,111465,133846,273,245584,2022-01-01
2021,4,Buenos Aires,1226406,3259793,22958,4509157,2021-10-01
2021,4,Capital Federal,264180,1147939,0,1412119,2021-10-01
2021,4,Catamarca,27030,29827,2233,59090,2021-10-01
2021,4,Chaco,77725,58435,7585,143745,2021-10-01
2021,4,Chubut,141641,2904,15763,160308,2021-10-01
2021,4,Córdoba,435463,538700,12607,986770,2021-10-01
2021,4,Corrientes,88919,39911,7082,135912,2021-10-01
2021,4,Entre Ríos,171173,77290,16583,265046,2021-10-01
2021,4,Formosa,37921,13775,1967,53663,2021-10-01
2021,4,Jujuy,78170,33421,2324,113915,2021-10-01
2021,4,La Pampa,91796,12184,3027,107007,2021-10-01
2021,4,La Rioja,39704,43424,0,83128,2021-10-01
2021,4,Mendoza,192190,75031,366,267587,2021-10-01
2021,4,Misiones,108201,54596,8335,171132,2021-10-01
2021,4,Neuquén,70482,69217,7767,147466,2021-10-01
2021,4,Río Negro,94966,36142,22645,153753,2021-10-01
2021,4,Salta,120308,72622,6475,199405,2021-10-01
2021,4,San Juan,65723,9800,4435,79958,2021-10-01
2021,4,San Luis,89622,9,29218,118849,2021-10-01
2021,4,Santa Cruz,47119,876,491,48486,2021-10-01
2021,4,Santa Fe,525649,322015,18777,866441,2021-10-01
2021,4,Santiago Del Estero,107531,7537,793,115861,2021-10-01
2021,4,Tierra Del Fuego,48760,1017,2580,52357,2021-10-01
2021,4,Tucumán,112542,125857,240,238639,2021-10-01
2021,3,Buenos Aires,1759615,2482266,9728,4251609,2021-07-01
