Año,Trimestre,Ingresos (miles de pesos),Periodo,Fecha
2022,3,67055930,jul-sept 2022,2022-07-01
2022,2,60335724,abr-jun 2022,2022-04-01
2022,1,55589997,ene-mar 2022,2022-01-01
2021,4,45467887,oct-dic 2021,2021-10-01
2021,3,42999944,jul-sept 2021,2021-07-01
2021,2,38239667,abr-jun 2021,2021-04-01
2021,1,36676371,ene-mar 2021,2021-01-01
2020,4,33539703,oct-dic 2020,2020-10-01
2020,3,31997445,jul-sept 2020,2020-07-01
2020,2,32102476,abr-jun 2020,2020-04-01
2020,1,29946216,ene-mar 2020,2020-01-01
2019,4,24169251,oct-dic 2019,2019-10-01
2019,3,21652748,jul-sept 2019,2019-07-01
2019,2,20743118,abr-jun 2019,2019-04-01
2019,1,20207414,ene-mar 2019,2019-01-01
2018,4,16637687,oct-dic 2018,2018-10-01
2018,3,15410981,jul-sept 2018,2018-07-01
2018,2,14319467,abr-jun 2018,2018-04-01
2018,1,13171459,ene-mar 2018,2018-01-01
2017,4,11226127,oct-dic 2017,2017-10-01
2017,3,10065998,jul-sept 2017,2017-07-01
2017,2,9678647,abr-jun 2017,2017-04-01
2017,1,8701201,ene-mar 2017,2017-01-01
2016,4,7483980,oct-dic 2016,2016-10-01
2016,3,6912442,jul-sept 2016,2016-07-01
2016,2,6534241,abr-jun 2016,2016-04-01
2016,1,5936845,ene-mar 2016,2016-01-01
2015,4,5376899,oct-dic 2015,2015-10-01
2015,3,5153739,jul-sept 2015,2015-07-01
2015,2,4701791,abr-jun 2015,2015-04-01
2015,1,4876385,ene-mar 2015,2015-01-01
2014,4,3950441,oct-dic 2014,2014-10-01
2014,3,3478638,jul-sept 2014,2014-07-01
2014,2,3270816,abr-jun 2014,2014-04-01
2014,1,2984054,ene-mar 2014,2014-01-01
